formasi_id,ins_nm,jp_nama,formasi_nm,jabatan_nm,lokasi_nm,jumlah_formasi,disable,gaji_min,gaji_max,gaji_rata2,rentang_gaji
cdcc2e1f-8525-44cc-b9bf-d68d1f49f444,Badan Informasi Geospasial,CPNS,Umum,Pengembang Teknologi Pembelajaran Ahli Pertama,Badan Informasi Geospasial | Pusat Pengembangan Kompetensi Informasi Geospasial,1,1,5500000,7800000,6650000.0,2300000
5b4731bc-5706-4489-8d4f-47499424194d,Badan Intelijen Negara,CPNS,Umum,Penelaah Teknis Intelijen,Badan Intelijen Negara | Sekretariat Utama | Pusat Pendidikan Dan Pelatihan,16,0,3500000,7500000,5500000.0,4000000
afcd8c04-f615-441b-880c-06f6a9a03e24,Badan Intelijen Negara,CPNS,Umum,Penelaah Teknis Intelijen,Badan Intelijen Negara | Sekretariat Utama | Pusat Pendidikan Dan Pelatihan | Bidang Pendidikan,4,0,3500000,7500000,5500000.0,4000000
e8cc8845-2172-4749-8b9e-8d4455606fff,Badan Intelijen Negara,CPNS,Umum,Penelaah Teknis Intelijen,Badan Intelijen Negara | Sekolah Tinggi Intlijen Negara | Bagian Bidang Akademik | Sub Bagian Administrasi Bidang Akademik,4,0,3500000,7500000,5500000.0,4000000
8a028492914fb63b01914fe7bd9c490e,Badan Kepegawaian Negara,CPNS,Penyandang Disabilitas,Pengembang Teknologi Pembelajaran Ahli Pertama,Badan Kepegawaian Negara | Pusat Pengembangan Kepegawaian Aparatur Sipil Negara,1,1,7920850,8734850,8327850.0,814000
86d7eb0e-dfec-4c9f-8118-9f6bb294f7bc,Badan Kepegawaian Negara,CPNS,Umum,Pengembang Teknologi Pembelajaran Ahli Pertama,Badan Kepegawaian Negara | Pusat Pengembangan Kepegawaian Aparatur Sipil Negara,1,1,7920850,8734850,8327850.0,814000
8a01869291548667019154aeb5d91f5a,Badan Kependudukan dan Keluarga Berencana Nasional,CPNS,Umum,Penata Kependudukan Dan Keluarga Berencana Ahli Pertama,Perwakilan Bkkbn Provinsi Jawa Tengah,2,1,2785700,9024448,5905074.0,6238748
8a01869291548667019154b5e65c2775,Badan Kependudukan dan Keluarga Berencana Nasional,CPNS,Umum,Penata Kependudukan Dan Keluarga Berencana Ahli Pertama,Perwakilan Bkkbn Provinsi Jawa Timur,1,1,2785700,9024448,5905074.0,6238748
8a01869291548667019154bcc9fa2ff8,Badan Kependudukan dan Keluarga Berencana Nasional,CPNS,Umum,Penata Kependudukan Dan Keluarga Berencana Ahli Pertama,Perwakilan Bkkbn Provinsi Kalimantan Barat,3,1,2785700,9024448,5905074.0,6238748
8a01869291548667019154bd474f3089,Badan Kependudukan dan Keluarga Berencana Nasional,CPNS,Umum,Penata Kependudukan Dan Keluarga Berencana Ahli Pertama,Perwakilan Bkkbn Provinsi Sulawesi Tenggara,2,1,2785700,9024448,5905074.0,6238748
8a01869291548667019154c29cce3c27,Badan Kependudukan dan Keluarga Berencana Nasional,CPNS,Umum,Penata Kependudukan Dan Keluarga Berencana Ahli Pertama,Perwakilan Bkkbn Provinsi Kalimantan Selatan,2,1,2785700,9024448,5905074.0,6238748
8a01869291548667019154c52e9b3faf,Badan Kependudukan dan Keluarga Berencana Nasional,CPNS,Umum,Penata Kependudukan Dan Keluarga Berencana Ahli Pertama,Perwakilan Bkkbn Provinsi Sulawesi Tengah,2,1,2785700,9024448,5905074.0,6238748
8a01869291548667019154c83fad4516,Badan Kependudukan dan Keluarga Berencana Nasional,CPNS,Umum,Penata Kependudukan Dan Keluarga Berencana Ahli Pertama,Perwakilan Bkkbn Provinsi Kalimantan Tengah,2,1,2785700,9024448,5905074.0,6238748
8a01869291548667019154d0423a558d,Badan Kependudukan dan Keluarga Berencana Nasional,CPNS,Umum,Penata Kependudukan Dan Keluarga Berencana Ahli Pertama,Perwakilan Bkkbn Provinsi Sulawesi Selatan,1,1,2785700,9024448,5905074.0,6238748
8a01869291548667019154de4c867046,Badan Kependudukan dan Keluarga Berencana Nasional,CPNS,Umum,Penata Kependudukan Dan Keluarga Berencana Ahli Pertama,Perwakilan Bkkbn Provinsi Kalimantan Timur,2,1,2785700,9024448,5905074.0,6238748
8a01869291548667019154e1e6d376ff,Badan Kependudukan dan Keluarga Berencana Nasional,CPNS,Umum,Penata Kependudukan Dan Keluarga Berencana Ahli Pertama,Perwakilan Bkkbn Provinsi Sulawesi Barat,1,1,2785700,9024448,5905074.0,6238748
8a01869291548667019154e59f5d7dcb,Badan Kependudukan dan Keluarga Berencana Nasional,CPNS,Umum,Penata Kependudukan Dan Keluarga Berencana Ahli Pertama,Perwakilan Bkkbn Provinsi Kepulauan Bangka Belitung,3,1,2785700,9024448,5905074.0,6238748
8a01869291548667019154e7c20301db,Badan Kependudukan dan Keluarga Berencana Nasional,CPNS,Umum,Penata Kependudukan Dan Keluarga Berencana Ahli Pertama,Perwakilan Bkkbn Provinsi Riau,1,1,2785700,9024448,5905074.0,6238748
8a01869291548667019154ebbeda0bf1,Badan Kependudukan dan Keluarga Berencana Nasional,CPNS,Umum,Penata Kependudukan Dan Keluarga Berencana Ahli Pertama,Perwakilan Bkkbn Provinsi Kepulauan Riau,3,1,2785700,9024448,5905074.0,6238748
8a01869291548667019154ee8d25115e,Badan Kependudukan dan Keluarga Berencana Nasional,CPNS,Umum,Penata Kependudukan Dan Keluarga Berencana Ahli Pertama,Perwakilan Bkkbn Provinsi Papua Barat,3,1,2785700,9024448,5905074.0,6238748
8a01869291548667019154f5a5a11c41,Badan Kependudukan dan Keluarga Berencana Nasional,CPNS,Umum,Penata Kependudukan Dan Keluarga Berencana Ahli Pertama,Perwakilan Bkkbn Provinsi Lampung,2,1,2785700,9024448,5905074.0,6238748
8a01869291548667019154f6f2751e0b,Badan Kependudukan dan Keluarga Berencana Nasional,CPNS,Umum,Penata Kependudukan Dan Keluarga Berencana Ahli Pertama,Perwakilan Bkkbn Provinsi Papua,3,1,2785700,9024448,5905074.0,6238748
8a01869291548667019154fa84df2446,Badan Kependudukan dan Keluarga Berencana Nasional,CPNS,Umum,Penata Kependudukan Dan Keluarga Berencana Ahli Pertama,Perwakilan Bkkbn Provinsi Maluku,3,1,2785700,9024448,5905074.0,6238748
8a018692915486670191550026e82ebb,Badan Kependudukan dan Keluarga Berencana Nasional,CPNS,Umum,Penata Kependudukan Dan Keluarga Berencana Ahli Pertama,Perwakilan Bkkbn Provinsi Nusa Tenggara Timur,3,1,2785700,9024448,5905074.0,6238748
8a0186929154866701915500c3742fdd,Badan Kependudukan dan Keluarga Berencana Nasional,CPNS,Umum,Penata Kependudukan Dan Keluarga Berencana Ahli Pertama,Perwakilan Bkkbn Provinsi Maluku Utara,3,1,2785700,9024448,5905074.0,6238748
8a0186929154866701915505c9873935,Badan Kependudukan dan Keluarga Berencana Nasional,CPNS,Umum,Penata Kependudukan Dan Keluarga Berencana Ahli Pertama,Perwakilan Bkkbn Provinsi Nusa Tenggara Barat,2,1,2785700,9024448,5905074.0,6238748
8a0186929154866701915548f57d7e3a,Badan Kependudukan dan Keluarga Berencana Nasional,CPNS,Penyandang Disabilitas,Penata Kependudukan Dan Keluarga Berencana Ahli Pertama,Perwakilan Bkkbn Provinsi Jawa Tengah,1,1,2785700,9024448,5905074.0,6238748
8a01869291548667019155495d7a7f8b,Badan Kependudukan dan Keluarga Berencana Nasional,CPNS,Penyandang Disabilitas,Penata Kependudukan Dan Keluarga Berencana Ahli Pertama,Perwakilan Bkkbn Provinsi Sumatera Barat,1,1,2785700,9024448,5905074.0,6238748
8a0186929154866701915549ea7a0201,Badan Kependudukan dan Keluarga Berencana Nasional,CPNS,Penyandang Disabilitas,Penata Kependudukan Dan Keluarga Berencana Ahli Pertama,Perwakilan Bkkbn Provinsi Kalimantan Timur,1,1,2785700,9024448,5905074.0,6238748
8a018692915486670191554a7aa8046e,Badan Kependudukan dan Keluarga Berencana Nasional,CPNS,Penyandang Disabilitas,Penata Kependudukan Dan Keluarga Berencana Ahli Pertama,Perwakilan Bkkbn Provinsi D.I Yogyakarta,1,1,2785700,9024448,5905074.0,6238748
8a018692915486670191554ad7f7060c,Badan Kependudukan dan Keluarga Berencana Nasional,CPNS,Penyandang Disabilitas,Penata Kependudukan Dan Keluarga Berencana Ahli Pertama,Perwakilan Bkkbn Provinsi Bengkulu,1,1,2785700,9024448,5905074.0,6238748
8a018692915486670191554b2b180728,Badan Kependudukan dan Keluarga Berencana Nasional,CPNS,Penyandang Disabilitas,Penata Kependudukan Dan Keluarga Berencana Ahli Pertama,Perwakilan Bkkbn Provinsi Sulawesi Tenggara,1,1,2785700,9024448,5905074.0,6238748
8a018692915486670191554b799a089c,Badan Kependudukan dan Keluarga Berencana Nasional,CPNS,Penyandang Disabilitas,Penata Kependudukan Dan Keluarga Berencana Ahli Pertama,Perwakilan Bkkbn Provinsi Sulawesi Tengah,1,1,2785700,9024448,5905074.0,6238748
8a018692915486670191554be6480a42,Badan Kependudukan dan Keluarga Berencana Nasional,CPNS,Penyandang Disabilitas,Penata Kependudukan Dan Keluarga Berencana Ahli Pertama,Perwakilan Bkkbn Provinsi Jambi,1,1,2785700,9024448,5905074.0,6238748
8a018692915486670191554c35db0bc0,Badan Kependudukan dan Keluarga Berencana Nasional,CPNS,Penyandang Disabilitas,Penata Kependudukan Dan Keluarga Berencana Ahli Pertama,Perwakilan Bkkbn Provinsi Nusa Tenggara Barat,1,1,2785700,9024448,5905074.0,6238748
8a018692915486670191554c84530d34,Badan Kependudukan dan Keluarga Berencana Nasional,CPNS,Penyandang Disabilitas,Penata Kependudukan Dan Keluarga Berencana Ahli Pertama,Perwakilan Bkkbn Provinsi Jawa Barat,1,1,2785700,9024448,5905074.0,6238748
8a018692915486670191554cd5db0e90,Badan Kependudukan dan Keluarga Berencana Nasional,CPNS,Penyandang Disabilitas,Penata Kependudukan Dan Keluarga Berencana Ahli Pertama,Perwakilan Bkkbn Provinsi Bali,1,1,2785700,9024448,5905074.0,6238748
8a018692915486670191554d4b7610a2,Badan Kependudukan dan Keluarga Berencana Nasional,CPNS,Penyandang Disabilitas,Penata Kependudukan Dan Keluarga Berencana Ahli Pertama,Perwakilan Bkkbn Provinsi Sulawesi Utara,1,1,2785700,9024448,5905074.0,6238748
8a018692915486670191554dbfde1252,Badan Kependudukan dan Keluarga Berencana Nasional,CPNS,Penyandang Disabilitas,Penata Kependudukan Dan Keluarga Berencana Ahli Pertama,Perwakilan Bkkbn Provinsi Lampung,1,1,2785700,9024448,5905074.0,6238748
8a018692915486670191554dfff913bd,Badan Kependudukan dan Keluarga Berencana Nasional,CPNS,Penyandang Disabilitas,Penata Kependudukan Dan Keluarga Berencana Ahli Pertama,Perwakilan Bkkbn Provinsi Banten,1,1,2785700,9024448,5905074.0,6238748
8a018692915486670191554f72881562,Badan Kependudukan dan Keluarga Berencana Nasional,CPNS,Penyandang Disabilitas,Penata Kependudukan Dan Keluarga Berencana Ahli Pertama,Perwakilan Bkkbn Provinsi Sulawesi Selatan,1,1,2785700,9024448,5905074.0,6238748
8a018692915486670191554fc29a164c,Badan Kependudukan dan Keluarga Berencana Nasional,CPNS,Penyandang Disabilitas,Penata Kependudukan Dan Keluarga Berencana Ahli Pertama,Perwakilan Bkkbn Provinsi Sumatera Utara,1,1,2785700,9024448,5905074.0,6238748
8a03849f914ed85101914fa815007eac,Badan Kependudukan dan Keluarga Berencana Nasional,CPNS,Umum,Penata Kependudukan Dan Keluarga Berencana Ahli Pertama,Bkkbn Pusat,23,1,2785700,9024448,5905074.0,6238748
8a0384b4915028740191514d495b3cb3,Badan Kependudukan dan Keluarga Berencana Nasional,CPNS,Umum,Penata Kependudukan Dan Keluarga Berencana Ahli Pertama,Perwakilan Bkkbn Provinsi Aceh,1,1,2785700,9024448,5905074.0,6238748
8a0384b4915028740191515589183dc6,Badan Kependudukan dan Keluarga Berencana Nasional,CPNS,Umum,Penata Kependudukan Dan Keluarga Berencana Ahli Pertama,Perwakilan Bkkbn Provinsi Bali,2,1,2785700,9024448,5905074.0,6238748
8a0384b49150287401915396c1426822,Badan Kependudukan dan Keluarga Berencana Nasional,CPNS,Umum,Penata Kependudukan Dan Keluarga Berencana Ahli Pertama,Perwakilan Bkkbn Provinsi Banten,2,1,2785700,9024448,5905074.0,6238748
8a0384b491502874019153bfe1db07c8,Badan Kependudukan dan Keluarga Berencana Nasional,CPNS,Umum,Penata Kependudukan Dan Keluarga Berencana Ahli Pertama,Perwakilan Bkkbn Provinsi Bengkulu,2,1,2785700,9024448,5905074.0,6238748
8a0384b491502874019153c763850eb3,Badan Kependudukan dan Keluarga Berencana Nasional,CPNS,Umum,Penata Kependudukan Dan Keluarga Berencana Ahli Pertama,Perwakilan Bkkbn Provinsi D.I Yogyakarta,2,1,2785700,9024448,5905074.0,6238748
8a0384b491502874019153e2d6701a7a,Badan Kependudukan dan Keluarga Berencana Nasional,CPNS,Umum,Penata Kependudukan Dan Keluarga Berencana Ahli Pertama,Perwakilan Bkkbn Provinsi Gorontalo,1,1,2785700,9024448,5905074.0,6238748
8a0384b49150287401915417932730c9,Badan Kependudukan dan Keluarga Berencana Nasional,CPNS,Umum,Penata Kependudukan Dan Keluarga Berencana Ahli Pertama,Perwakilan Bkkbn Provinsi Jambi,2,1,2785700,9024448,5905074.0,6238748
8a0384b4915028740191542557c53a3f,Badan Kependudukan dan Keluarga Berencana Nasional,CPNS,Umum,Penata Kependudukan Dan Keluarga Berencana Ahli Pertama,Perwakilan Bkkbn Provinsi Jawa Barat,2,1,2785700,9024448,5905074.0,6238748
8a0384b4915028740191542f15374326,Badan Kependudukan dan Keluarga Berencana Nasional,CPNS,Umum,Penata Kependudukan Dan Keluarga Berencana Ahli Pertama,Perwakilan Bkkbn Provinsi Sumatera Utara,2,1,2785700,9024448,5905074.0,6238748
8a0384b49150287401915437d21e4d3a,Badan Kependudukan dan Keluarga Berencana Nasional,CPNS,Umum,Penata Kependudukan Dan Keluarga Berencana Ahli Pertama,Perwakilan Bkkbn Provinsi Sumatera Selatan,1,1,2785700,9024448,5905074.0,6238748
8a0384b4915028740191543ec24d5473,Badan Kependudukan dan Keluarga Berencana Nasional,CPNS,Umum,Penata Kependudukan Dan Keluarga Berencana Ahli Pertama,Perwakilan Bkkbn Provinsi Sumatera Barat,2,1,2785700,9024448,5905074.0,6238748
8a0384b491502874019154479eb56161,Badan Kependudukan dan Keluarga Berencana Nasional,CPNS,Umum,Penata Kependudukan Dan Keluarga Berencana Ahli Pertama,Perwakilan Bkkbn Provinsi Sulawesi Utara,2,1,2785700,9024448,5905074.0,6238748
9a34077f-440d-4e20-9e69-792049fb3033,"Badan Meteorologi, Klimatologi dan Geofisika",CPNS,Umum,Pengembang Teknologi Pembelajaran Ahli Pertama,Badan Meteorologi Klimatologi Dan Geofisika | Pusat Pendidikan Dan Pelatihan,1,0,5500000,8500000,7000000.0,3000000
088c3cac-c8c5-4775-b322-21dfcfdbcdd2,Badan Pelindungan Pekerja Migran Indonesia,CPNS,Umum,Analis Kebijakan Ahli Pertama,Badan Pelindungan Pekerja Migran Indonesia | Deputi Bidang Penempatan Dan Pelindungan Kawasan Eropa Dan Timur Tengah | Direktorat Sistem Dan Strategi Penempatan Dan Pelindungan Kawasan Eropa Dan Timur Tengah,2,1,6862100,7746358,7304229.0,884258
7980e585-a33e-4fb1-9fcc-bff894a56310,Badan Pelindungan Pekerja Migran Indonesia,CPNS,Umum,Analis Kebijakan Ahli Pertama,Badan Pelindungan Pekerja Migran Indonesia | Deputi Bidang Penempatan Dan Pelindungan Kawasan Asia Dan Afrika | Direktorat Sistem Dan Strategi Penempatan Dan Pelindungan Kawasan Asia Dan Afrika,1,1,6862100,7746358,7304229.0,884258
06eedcaf-adfc-4021-a3bd-07996cf72349,Badan Pelindungan Pekerja Migran Indonesia,CPNS,Umum,Arsiparis Ahli Pertama,Badan Pelindungan Pekerja Migran Indonesia | Balai Pelayanan Pelindungan Pekerja Migran Indonesia Dki Jakarta,1,1,6862100,7726358,7294229.0,864258
1d81f097-cb0a-4a40-9b51-7ceb159938a1,Badan Pelindungan Pekerja Migran Indonesia,CPNS,Umum,Arsiparis Ahli Pertama,Badan Pelindungan Pekerja Migran Indonesia | Balai Pelayanan Pelindungan Pekerja Migran Indonesia Kepulauan Riau,2,1,6862100,7726358,7294229.0,864258
2b69b7c4-72d4-40bd-9a2c-e4967656f7e3,Badan Pelindungan Pekerja Migran Indonesia,CPNS,Umum,Arsiparis Ahli Pertama,Badan Pelindungan Pekerja Migran Indonesia | Pusat Pengembangan Sumber Daya Manusia,1,1,6862100,7726358,7294229.0,864258
af5dc60d-2c19-46b1-9b94-d55d9b71d840,Badan Pelindungan Pekerja Migran Indonesia,CPNS,Umum,Arsiparis Ahli Pertama,Badan Pelindungan Pekerja Migran Indonesia | Balai Pelayanan Pelindungan Pekerja Migran Indonesia Sumatera Selatan,1,1,6862100,7746358,7304229.0,884258
c2217cf9-f7a1-40b0-8658-d2b4501e6fd8,Badan Pelindungan Pekerja Migran Indonesia,CPNS,Umum,Arsiparis Ahli Pertama,Badan Pelindungan Pekerja Migran Indonesia | Balai Pelayanan Pelindungan Pekerja Migran Indonesia Jawa Tengah,1,1,6862100,7726358,7294229.0,864258
d0a93fee-65aa-4aaf-b60a-1e81632ac23c,Badan Pelindungan Pekerja Migran Indonesia,CPNS,Umum,Arsiparis Ahli Pertama,Badan Pelindungan Pekerja Migran Indonesia | Balai Pelayanan Pelindungan Pekerja Migran Indonesia Sulawesi Utara,1,1,6862100,7726358,7294229.0,864258
d8146961-5dc3-4766-8227-727c09976fd5,Badan Pelindungan Pekerja Migran Indonesia,CPNS,Umum,Arsiparis Ahli Pertama,Badan Pelindungan Pekerja Migran Indonesia | Balai Pelayanan Pelindungan Pekerja Migran Indonesia Sulawesi Selatan,1,1,6862100,7726358,7294229.0,864258
fad7430a-4e30-48ab-9f7f-507c30381f4b,Badan Pelindungan Pekerja Migran Indonesia,CPNS,Umum,Pengembang Teknologi Pembelajaran Ahli Pertama,Badan Pelindungan Pekerja Migran Indonesia | Pusat Pengembangan Sumber Daya Manusia,2,1,6862100,7746358,7304229.0,884258
8a0186c991593869019159454c630bd4,Badan Pengawas Obat dan Makanan ,CPNS,Umum,Analis Pengembangan Kompetensi Asn Ahli Pertama,Wilayah Rekrutmen Zona 1,1,1,6240000,10000000,8120000.0,3760000
8a0186cd915aa77f01915ad76d563918,Badan Pengawas Obat dan Makanan ,CPNS,Penyandang Disabilitas,Analis Pengembangan Kompetensi Asn Ahli Pertama,Wilayah Rekrutmen Zona 1,1,1,6240000,10000000,8120000.0,3760000
8a0186cc9159ace5019159f0793c2342,Badan Pengawas Pemilihan Umum,CPNS,Lulusan Terbaik,Pengembang Teknologi Pembelajaran Ahli Pertama,Badan Pengawas Pemilihan Umum | Sekretariat Jenderal | Pusat Penelitian Pengembangan Pendidikan Dan Pelatihan,1,0,6677120,7061518,6869319.0,384398
354939de-5dcb-4ce0-bb0e-a5dbe3406f9d,Badan Pengawas Pemilihan Umum,CPNS,Umum,Pengembang Teknologi Pembelajaran Ahli Pertama,Badan Pengawas Pemilihan Umum | Sekretariat Jenderal | Pusat Penelitian Pengembangan Pendidikan Dan Pelatihan,2,0,6677120,7061518,6869319.0,384398
0c3fb1f2-c2ab-4590-af0d-835e9e0c4c12,Kementerian Dalam Negeri,CPNS,Umum,Analis Pengembangan Kompetensi Asn Ahli Pertama,Kementerian Dalam Negeri | Badan Pengembangan Sumber Daya Manusia | Pusat Pengembangan Sumber Daya Manusia Regional Yogyakarta,1,1,9000000,17000000,13000000.0,8000000
8a0384c7915b4c4c01915de6b3f510df,Kementerian Dalam Negeri,CPNS,Putra/Putri Papua Dan Papua Barat,Pengembang Teknologi Pembelajaran Ahli Pertama,"Kementerian Dalam Negeri | Institut Pemerintahan Dalam Negeri | Ipdn Kampus Papua | Bagian Administrasi Umum Dan Sistem Informasi | Subbagian Perlengkapan, Rumah Tangga, Dan Sistem Informasi",1,1,10000000,17000000,13500000.0,7000000
b38c3d53-b299-4d51-964d-62a8125d5d1d,Kementerian Dalam Negeri,CPNS,Umum,Pengembang Teknologi Pembelajaran Ahli Pertama,"Kementerian Dalam Negeri | Institut Pemerintahan Dalam Negeri | Ipdn Kampus Papua | Bagian Administrasi Umum Dan Sistem Informasi | Subbagian Perlengkapan, Rumah Tangga, Dan Sistem Informasi",1,1,10000000,17000000,13500000.0,7000000
01df9834-ab14-4208-8a71-e8b49d609511,Kementerian Energi dan Sumber Daya Mineral,CPNS,Umum,Pengembang Teknologi Pembelajaran Ahli Pertama,Kementerian Energi Dan Sumber Daya Mineral | Badan Pengembangan Sumber Daya Manusia Energi Dan Sumber Daya Mineral | Sekretariat Badan Pengembangan Sumber Daya Manusia Energi Dan Sumber Daya Mineral | Balai Pendidikan Dan Pelatihan Tambang Bawah Tanah,1,1,8700000,9300000,9000000.0,600000
8a0186ce915e61b701915f2086ce34ba,Kementerian Investasi/Badan Koordinasi Penanaman Modal,CPNS,Penyandang Disabilitas,Pengembang Teknologi Pembelajaran Ahli Pertama,Kementerian Investasi/Badan Koordinasi Penanaman Modal | Pusat Pendidikan Dan Pelatihan,1,1,8000000,8500000,8250000.0,500000
